model,channel,anchor_family,n_edges,ordinary_whole_vector_coherence,residual_family_coherence,mean_residual_to_anchor_cosine,residual_coherence_improvement
bge_m3_1024d,cn_def,ROOT-5B83,8,0.4516827762126922,0.4628558754920959,0.4735722802579403,0.0111730992794036
bge_m3_1024d,cn_def,ROOT-5B89,4,0.4804153442382812,0.5184941291809082,0.5536046773195267,0.0380787849426269
bge_m3_1024d,cn_def,ROOT-5B97,6,0.4684863984584808,0.4994600415229797,0.5614749391873678,0.0309736430644989
bge_m3_1024d,cn_def,ROOT-5B98,7,0.500531792640686,0.5332514047622681,0.5188096932002476,0.032719612121582
bge_m3_1024d,cn_def,ROOT-5B9A,3,0.523883044719696,0.5152228474617004,0.5221984187761942,-0.0086601972579956
bge_m3_1024d,cn_def,ROOT-5BA3,4,0.5173414349555969,0.6158878207206726,0.610145315527916,0.0985463857650756
bge_m3_1024d,cn_def,ROOT-5BB3,3,0.4771912097930908,0.5255861282348633,0.5478694240252177,0.0483949184417724
bge_m3_1024d,cn_def,ROOT-5BB6,2,0.4325573444366455,0.5089967250823975,0.4518730193376541,0.0764393806457519
bge_m3_1024d,cn_def,ROOT-5BBF,2,0.4209436178207397,0.4979575872421264,0.5392557680606842,0.0770139694213867
bge_m3_1024d,cn_def,ROOT-5BCD,5,0.466806948184967,0.4611552357673645,0.5071690678596497,-0.0056517124176025
bge_m3_1024d,cn_def,ROOT-5BF8,4,0.4987153112888336,0.5312870144844055,0.5223332718014717,0.0325717031955719
bge_m3_1024d,cn_def,ROOT-5C07,5,0.4553912580013275,0.4251919686794281,0.5101426362991333,-0.0301992893218994
bge_m3_1024d,cn_def,ROOT-5C08,6,0.5126513838768005,0.5147162675857544,0.5007014572620392,0.0020648837089538
bge_m3_1024d,cn_def,ROOT-5C09,3,0.6589376330375671,0.6673886179924011,0.3989875912666321,0.0084509849548339
bge_m3_1024d,cn_def,ROOT-5C0A,4,0.4448231160640716,0.5281268954277039,0.6142546460032463,0.0833037793636322
bge_m3_1024d,cn_def,ROOT-5C0F,19,0.514878511428833,0.5260324478149414,0.5703975040661661,0.0111539363861083
bge_m3_1024d,cn_def,ROOT-5C17,8,0.4631949961185455,0.489750325679779,0.4782693721354007,0.0265553295612335
bge_m3_1024d,cn_def,ROOT-5C1A,21,0.4841634929180145,0.4998497366905212,0.5191169948804946,0.0156862437725067
bge_m3_1024d,cn_def,ROOT-5C39,4,0.4633311331272125,0.4880033433437347,0.5175468474626541,0.0246722102165222
bge_m3_1024d,cn_def,ROOT-5C48,2,0.5207830667495728,0.5335192680358887,0.6234308481216431,0.0127362012863159
bge_m3_1024d,cn_def,ROOT-5C4B,5,0.5454285740852356,0.5847131609916687,0.6157242178916931,0.0392845869064331
bge_m3_1024d,cn_def,ROOT-5C55,2,0.6745415925979614,0.6062871217727661,0.6172871291637421,-0.0682544708251953
bge_m3_1024d,cn_def,ROOT-5C6F,6,0.4244454801082611,0.4292515516281128,0.4740156531333923,0.0048060715198516
bge_m3_1024d,cn_def,ROOT-5C70,4,0.4720125198364258,0.5042135119438171,0.481618158519268,0.0322009921073913
bge_m3_1024d,cn_def,ROOT-5C71,4,0.4321551322937011,0.4683872759342193,0.5355575978755951,0.0362321436405181
