model,channel,root_family_id,rank_change_raw,rank_change_centered
bge_m3_1024d,cn_def,ROOT-79BB,7.4,-170.6
bge_m3_1024d,cn_def,ROOT-79BE,-284.8888888888889,-352.22222222222223
bge_m3_1024d,cn_def,ROOT-79CB,-309.0,-312.4
bge_m3_1024d,cn_def,ROOT-7ACB,-318.3333333333333,61.333333333333336
bge_m3_1024d,cn_def,ROOT-7AE0,55.0,-113.0
bge_m3_1024d,cn_def,ROOT-7AE5,-7.714285714285714,112.14285714285714
bge_m3_1024d,cn_def,ROOT-7F8A,72.28571428571429,190.57142857142858
bge_m3_1024d,cn_def,ROOT-7FA9,-12.571428571428571,-172.85714285714286
bge_m3_1024d,cn_def,ROOT-7FCF,944.2,1045.4
bge_m3_1024d,cn_def,ROOT-7FDF,288.3333333333333,734.6666666666666
bge_m3_1024d,cn_def,ROOT-8011,550.5714285714286,1295.4285714285713
bge_m3_1024d,cn_def,ROOT-8033,609.0,994.7777777777778
bge_m3_1024d,cn_def,ROOT-8076,590.6,1014.8
bge_m3_1024d,cn_def,ROOT-807F,195.0,292.5
bge_m3_1024d,cn_def,ROOT-8099,-405.5,-595.5
bge_m3_1024d,cn_def,ROOT-81E4,251.66666666666666,435.5
bge_m3_1024d,cn_def,ROOT-81F3,-624.2857142857143,-568.7142857142857
bge_m3_1024d,cn_def,ROOT-81FD,68.0,21.428571428571427
bge_m3_1024d,cn_def,ROOT-8200,2.8,36.6
bge_m3_1024d,cn_def,ROOT-8201,-434.5,-471.5
bge_m3_1024d,cn_def,ROOT-826F,799.5714285714286,530.4285714285714
bge_m3_1024d,cn_def,ROOT-82BB,81.5,97.75
bge_m3_1024d,cn_def,ROOT-830D,683.0,1366.75
bge_m3_1024d,cn_def,ROOT-83AB,23.071428571428573,223.64285714285714
bge_m3_1024d,cn_def,ROOT-83D0,23.6,48.0
bge_m3_1024d,cn_def,ROOT-84A6,-176.5,-411.5
bge_m3_1024d,cn_def,ROOT-8700,-35.125,89.875
bge_m3_1024d,cn_def,ROOT-8944,-143.75,-206.75
bge_m3_1024d,cn_def,ROOT-898B,-783.0,-939.2
bge_m3_1024d,cn_def,ROOT-8A79,72.66666666666667,189.88888888888889
bge_m3_1024d,cn_def,ROOT-8C37,80.4,222.7
bge_m3_1024d,cn_def,ROOT-8C46,599.7,554.7
bge_m3_1024d,cn_def,ROOT-8C48,-234.57142857142858,-86.85714285714286
bge_m3_1024d,cn_def,ROOT-8C66,-399.0,-724.0
bge_m3_1024d,cn_def,ROOT-8C9E,-928.25,-446.75
bge_m3_1024d,cn_def,ROOT-8CAC,-312.6,-100.0
bge_m3_1024d,cn_def,ROOT-8CCF,43.285714285714285,1.1428571428571428
bge_m3_1024d,cn_def,ROOT-8DB3,1296.75,2111.0
bge_m3_1024d,cn_def,ROOT-8ECD,-81.77777777777777,-130.22222222222223
bge_m3_1024d,cn_def,ROOT-8F9F,-106.63636363636364,-31.0
bge_m3_1024d,cn_def,ROOT-8FA1,297.2,660.0
bge_m3_1024d,cn_def,ROOT-8FB0,68.71428571428571,320.42857142857144
bge_m3_1024d,cn_def,ROOT-8FB1,-50.0,-6.75
bge_m3_1024d,cn_def,ROOT-9023,-377.25,-247.25
bge_m3_1024d,cn_def,ROOT-91C6,-251.9090909090909,-347.09090909090907
bge_m3_1024d,cn_def,ROOT-91CC,-79.71428571428571,105.85714285714286
bge_m3_1024d,cn_def,ROOT-9577,-272.3333333333333,143.83333333333334
bge_m3_1024d,cn_def,ROOT-9580,129.16666666666666,95.83333333333333
bge_m3_1024d,cn_def,ROOT-96B9,139.27777777777777,267.0
bge_m3_1024d,cn_def,ROOT-9700,-142.16666666666666,479.6666666666667
bge_m3_1024d,cn_def,ROOT-9752,131.83333333333334,132.16666666666666
bge_m3_1024d,cn_def,ROOT-975E,86.0625,102.375
bge_m3_1024d,cn_def,ROOT-9AD8,-46.8,-29.733333333333334
bge_m3_1024d,cn_def,ROOT-9B3C,137.625,70.25
bge_m3_1024d,cn_def,ROOT-9E7F,-257.25,-146.75
bge_m3_1024d,cn_def,ROOT-9F4A,-96.33333333333333,-96.16666666666667
bge_m3_1024d,cn_def,ROOT-9F8D,-200.75,-306.375
bge_m3_1024d,en_def_translated_cn_def,ROOT-20000,-126.45,-104.55
bge_m3_1024d,en_def_translated_cn_def,ROOT-200A4,552.0,580.5
bge_m3_1024d,en_def_translated_cn_def,ROOT-2123C,459.5,696.2
bge_m3_1024d,en_def_translated_cn_def,ROOT-219CD,389.55555555555554,322.0
bge_m3_1024d,en_def_translated_cn_def,ROOT-21FE7,186.25,-452.75
bge_m3_1024d,en_def_translated_cn_def,ROOT-23386,-1051.75,-637.5
bge_m3_1024d,en_def_translated_cn_def,ROOT-233DF,-487.5,-394.0
bge_m3_1024d,en_def_translated_cn_def,ROOT-2394F,20.9375,170.875
bge_m3_1024d,en_def_translated_cn_def,ROOT-239BC,838.0,1166.0
bge_m3_1024d,en_def_translated_cn_def,ROOT-23A8A,-270.0,-341.2
bge_m3_1024d,en_def_translated_cn_def,ROOT-25055,747.25,1573.25
bge_m3_1024d,en_def_translated_cn_def,ROOT-271A3,-102.0,4.2727272727272725
bge_m3_1024d,en_def_translated_cn_def,ROOT-27DA0,402.0,508.5
bge_m3_1024d,en_def_translated_cn_def,ROOT-3431,140.42857142857142,-89.71428571428571
bge_m3_1024d,en_def_translated_cn_def,ROOT-34BC,6.5,-240.25
bge_m3_1024d,en_def_translated_cn_def,ROOT-34DE,-2.0,351.625
bge_m3_1024d,en_def_translated_cn_def,ROOT-3563,111.76923076923077,256.15384615384613
bge_m3_1024d,en_def_translated_cn_def,ROOT-37A2,626.4166666666666,879.8333333333334
bge_m3_1024d,en_def_translated_cn_def,ROOT-382F,38.53333333333333,101.8
bge_m3_1024d,en_def_translated_cn_def,ROOT-3840,286.5,258.0
bge_m3_1024d,en_def_translated_cn_def,ROOT-39B0,32.0,-259.0
bge_m3_1024d,en_def_translated_cn_def,ROOT-4020,584.25,981.75
bge_m3_1024d,en_def_translated_cn_def,ROOT-41C2,127.73333333333333,165.73333333333332
bge_m3_1024d,en_def_translated_cn_def,ROOT-4343,-384.25,-175.25
bge_m3_1024d,en_def_translated_cn_def,ROOT-470C,38.36363636363637,258.09090909090907
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E00,200.5,518.0
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E01,285.57142857142856,402.2857142857143
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E02,-485.75,-677.5
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E0D,-569.2,-376.0
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E11,478.0,534.75
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E14,-222.6875,-322.8125
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E29,605.25,962.25
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E2D,-278.8333333333333,-273.8333333333333
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E30,-64.83333333333333,-528.6666666666666
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E36,-207.57142857142858,364.2857142857143
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E3F,148.33333333333334,378.8666666666667
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E43,171.75,947.0
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E47,-238.6,46.2
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E4D,344.6363636363636,269.90909090909093
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E4F,-590.6,-1140.4
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E59,-548.75,-198.75
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E5D,-230.85714285714286,-73.28571428571429
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E5F,-202.25,-262.5
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E88,15.0,277.42857142857144
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E8C,-84.71428571428571,202.0
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E8E,79.8,183.2
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E8F,-233.4,-199.4
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E91,57.8,109.4
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E94,103.27272727272727,133.72727272727272
bge_m3_1024d,en_def_translated_cn_def,ROOT-4E9E,-475.25,-304.25
bge_m3_1024d,en_def_translated_cn_def,ROOT-4EA1,94.25,-57.0
bge_m3_1024d,en_def_translated_cn_def,ROOT-4EA2,518.2222222222222,741.6666666666666
bge_m3_1024d,en_def_translated_cn_def,ROOT-4EA4,-72.75,223.66666666666666
bge_m3_1024d,en_def_translated_cn_def,ROOT-4EA5,-276.4166666666667,1.5833333333333333
bge_m3_1024d,en_def_translated_cn_def,ROOT-4EAC,-250.0,17.571428571428573
bge_m3_1024d,en_def_translated_cn_def,ROOT-4ECA,-74.47619047619048,-82.76190476190476
