model,channel,anchor_family,rank_change_raw,rank_change_centered
bge_m3_1024d,cn_def,ROOT-5F56,1551.75,896.5
bge_m3_1024d,cn_def,ROOT-5F57,468.0,900.0
bge_m3_1024d,cn_def,ROOT-5F6D,534.5,616.5
bge_m3_1024d,cn_def,ROOT-5F9E,821.2,1066.8
bge_m3_1024d,cn_def,ROOT-5FB9,346.0,505.0
bge_m3_1024d,cn_def,ROOT-5FC3,2701.0,1338.0
bge_m3_1024d,cn_def,ROOT-5FC5,444.2,1008.4
bge_m3_1024d,cn_def,ROOT-601D,4794.0,4675.0
bge_m3_1024d,cn_def,ROOT-606F,3397.0,3910.0
bge_m3_1024d,cn_def,ROOT-60E0,856.0,1713.5
bge_m3_1024d,cn_def,ROOT-610F,607.0,919.75
bge_m3_1024d,cn_def,ROOT-611B,-273.0,-30.0
bge_m3_1024d,cn_def,ROOT-6208,939.0,196.0
bge_m3_1024d,cn_def,ROOT-620A,-323.0,-488.0
bge_m3_1024d,cn_def,ROOT-620D,1670.6666666666667,2254.8333333333335
bge_m3_1024d,cn_def,ROOT-620E,2661.0,2976.0
bge_m3_1024d,cn_def,ROOT-6211,2244.875,2328.0
bge_m3_1024d,cn_def,ROOT-6212,747.5,661.0
bge_m3_1024d,cn_def,ROOT-6214,1574.0,2471.0
bge_m3_1024d,cn_def,ROOT-6216,1549.3333333333333,1415.5
bge_m3_1024d,cn_def,ROOT-6236,-5.5,-278.0
bge_m3_1024d,cn_def,ROOT-6241,813.125,792.625
bge_m3_1024d,cn_def,ROOT-6247,1318.0,2068.0
bge_m3_1024d,cn_def,ROOT-624B,527.3333333333334,559.0
bge_m3_1024d,cn_def,ROOT-624D,2239.75,2701.75
bge_m3_1024d,cn_def,ROOT-6298,1168.6666666666667,1836.3333333333333
bge_m3_1024d,cn_def,ROOT-62DC,1103.0,1134.0
bge_m3_1024d,cn_def,ROOT-652F,1042.9,1851.9
bge_m3_1024d,cn_def,ROOT-6538,1564.1818181818182,2063.5454545454545
bge_m3_1024d,cn_def,ROOT-6544,2761.0,4491.0
bge_m3_1024d,cn_def,ROOT-6556,1436.0,2060.6666666666665
