edge_id,anchor_char,derived_char,added_component,anchor_role,added_component_role,phonophore_root,recursive_depth,family_id_root,family_id_immediate,edge_structure_pattern,layout,edge_status,edge_confidence,edge_dispute_flag,source_reference,anchor_in_population,anchor_char_raw,phonophore_root_raw,added_component_raw,edge_structure_pattern_raw,anchor_char_normalized,added_component_normalized,edge_structure_pattern_normalized,normalization_applied,normalization_map_id,normalization_rule_category,normalization_confidence,normalization_notes,phonophore_root_normalized,normalization_collapse_group,normalization_collapse_flag
EDGE-00608,乍,作,亻,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿰亻乍,left-right,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,亻,⿰亻乍,乍,亻,⿰亻乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00236,False
EDGE-00609,作,筰,竹,phonophore,structural_remainder_presumed_semantic,乍,2,ROOT-4E4D,IMM-4F5C,⿱竹作,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 作聲,True,作,乍,竹,⿱竹作,作,竹,⿱竹作,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00519,False
EDGE-00610,作,莋,艹,phonophore,structural_remainder_presumed_semantic,乍,2,ROOT-4E4D,IMM-4F5C,⿱艹作,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 作聲,True,作,乍,艹,⿱艹作,作,艹,⿱艹作,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00520,False
EDGE-00611,乍,咋,口,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿰口乍,left-right,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,口,⿰口乍,乍,口,⿰口乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00237,False
EDGE-00612,乍,怍,忄,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿰忄乍,left-right,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,忄,⿰忄乍,乍,忄,⿰忄乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00238,False
EDGE-00613,乍,怎,心,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿱乍心,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,心,⿱乍心,乍,心,⿱乍心,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00239,False
EDGE-00614,乍,昨,日,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿰日乍,left-right,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,日,⿰日乍,乍,日,⿰日乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00240,False
EDGE-00615,乍,柞,木,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿰木乍,left-right,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,木,⿰木乍,乍,木,⿰木乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00241,False
EDGE-00616,乍,炸,火,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿰火乍,left-right,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,火,⿰火乍,乍,火,⿰火乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00242,False
EDGE-00617,乍,祚,礻,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿰礻乍,left-right,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,礻,⿰礻乍,乍,礻,⿰礻乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00243,False
EDGE-00618,乍,窄,穴,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿱穴乍,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,穴,⿱穴乍,乍,穴,⿱穴乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00244,False
EDGE-00619,乍,笮,竹,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿱竹乍,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,竹,⿱竹乍,乍,竹,⿱竹乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00245,False
EDGE-00620,乍,胙,肉,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿰肉乍,left-right,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,肉,⿰肉乍,乍,肉,⿰肉乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00246,False
EDGE-00621,乍,詐,言,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿰言乍,left-right,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,言,⿰言乍,乍,言,⿰言乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00247,False
EDGE-00622,乍,迮,辶,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿺辶乍,surround-lower-left,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,辶,⿺辶乍,乍,辶,⿺辶乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00248,False
EDGE-00623,乍,酢,酉,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿰酉乍,left-right,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,酉,⿰酉乍,乍,酉,⿰酉乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00249,False
EDGE-00624,乍,阼,阝,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿰阝乍,left-right,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,阝,⿰阝乍,乍,阝,⿰阝乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00250,False
EDGE-00625,乍,鮓,魚,phonophore,structural_remainder_presumed_semantic,乍,1,ROOT-4E4D,IMM-4E4D,⿰魚乍,left-right,eligible_direct,high,False,CJKVI ids-analysis: 乍聲,True,乍,乍,魚,⿰魚乍,乍,魚,⿰魚乍,False,,,not_applicable,No accepted mapping applied.,乍,COLLAPSE-00251,False
EDGE-00626,令,伶,亻,phonophore,structural_remainder_presumed_semantic,令,1,ROOT-4EE4,IMM-4EE4,⿰亻令,left-right,eligible_direct,high,False,CJKVI ids-analysis: 令聲,True,令,令,亻,⿰亻令,令,亻,⿰亻令,False,,,not_applicable,No accepted mapping applied.,令,COLLAPSE-00470,False
EDGE-00627,令,冷,冫,phonophore,structural_remainder_presumed_semantic,令,1,ROOT-4EE4,IMM-4EE4,⿰冫令,left-right,eligible_direct,high,False,CJKVI ids-analysis: 令聲,True,令,令,冫,⿰冫令,令,冫,⿰冫令,False,,,not_applicable,No accepted mapping applied.,令,COLLAPSE-00471,False
EDGE-00628,令,囹,囗,phonophore,structural_remainder_presumed_semantic,令,1,ROOT-4EE4,IMM-4EE4,⿴囗令,enclosure,eligible_direct,high,False,CJKVI ids-analysis: 令聲,True,令,令,囗,⿴囗令,令,囗,⿴囗令,False,,,not_applicable,No accepted mapping applied.,令,COLLAPSE-00472,False
EDGE-00629,令,泠,氵,phonophore,structural_remainder_presumed_semantic,令,1,ROOT-4EE4,IMM-4EE4,⿰氵令,left-right,eligible_direct,high,False,CJKVI ids-analysis: 令聲,True,令,令,氵,⿰氵令,令,氵,⿰氵令,False,,,not_applicable,No accepted mapping applied.,令,COLLAPSE-00473,False
EDGE-00630,令,玲,王,phonophore,structural_remainder_presumed_semantic,令,1,ROOT-4EE4,IMM-4EE4,⿰王令,left-right,eligible_direct,high,False,CJKVI ids-analysis: 令聲,True,令,令,王,⿰王令,令,王,⿰王令,False,,,not_applicable,No accepted mapping applied.,令,COLLAPSE-00474,False
EDGE-00631,令,瓴,瓦,phonophore,structural_remainder_presumed_semantic,令,1,ROOT-4EE4,IMM-4EE4,⿰令瓦,left-right,eligible_direct,high,False,CJKVI ids-analysis: 令聲,True,令,令,瓦,⿰令瓦,令,瓦,⿰令瓦,False,,,not_applicable,No accepted mapping applied.,令,COLLAPSE-00475,False
EDGE-00632,令,笭,竹,phonophore,structural_remainder_presumed_semantic,令,1,ROOT-4EE4,IMM-4EE4,⿱竹令,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 令聲,True,令,令,竹,⿱竹令,令,竹,⿱竹令,False,,,not_applicable,No accepted mapping applied.,令,COLLAPSE-00476,False
EDGE-00633,令,羚,羊,phonophore,structural_remainder_presumed_semantic,令,1,ROOT-4EE4,IMM-4EE4,⿰羊令,left-right,eligible_direct,high,False,CJKVI ids-analysis: 令聲,True,令,令,羊,⿰羊令,令,羊,⿰羊令,False,,,not_applicable,No accepted mapping applied.,令,COLLAPSE-00477,False
EDGE-00634,令,翎,羽,phonophore,structural_remainder_presumed_semantic,令,1,ROOT-4EE4,IMM-4EE4,⿰令羽,left-right,eligible_direct,high,False,CJKVI ids-analysis: 令聲,True,令,令,羽,⿰令羽,令,羽,⿰令羽,False,,,not_applicable,No accepted mapping applied.,令,COLLAPSE-00478,False
EDGE-00635,令,聆,耳,phonophore,structural_remainder_presumed_semantic,令,1,ROOT-4EE4,IMM-4EE4,⿰耳令,left-right,eligible_direct,high,False,CJKVI ids-analysis: 令聲,True,令,令,耳,⿰耳令,令,耳,⿰耳令,False,,,not_applicable,No accepted mapping applied.,令,COLLAPSE-00479,False
