model,channel,support_threshold,n_heldout_cases,n_p_root_families,n_distinct_mapped_s_contexts,candidate_count,percent_rank_improved,percent_rank_worsened,percent_rank_tied,top1_rescues,top1_losses,top1_net,baseline_recall_at_1,baseline_recall_at_5,baseline_recall_at_10,baseline_mrr,baseline_median_rank,baseline_mean_rank,offset_recall_at_1,offset_recall_at_5,offset_recall_at_10,offset_mrr,offset_median_rank,offset_mean_rank,recall_at_1_gain,recall_at_5_gain,recall_at_10_gain,human_interpretation
bge_m3_1024d,zh_char,5,4181,346,215,11150,68.69170055010763,30.590767758909355,0.7175316909830185,6,7,-1,0.0035876584549150922,0.01530734274097106,0.024874431954077972,0.011567097852518058,4669.0,4622.764171250897,0.0033484812245874193,0.012198038746711314,0.01865582396555848,0.008637013488873965,5612.0,5014.902176512796,-0.00023917723032767287,-0.0031093039942597465,-0.006218607988519493,
bge_m3_1024d,zh_char,8,3313,220,201,11150,68.09538182915786,31.21038333836402,0.6942348324781165,5,7,-2,0.00392393600965892,0.016299426501660125,0.025354663447026863,0.012130520877545454,4381.0,4576.926954421974,0.0033202535466344703,0.011771808028976758,0.017506791427709025,0.008373508471812244,5616.0,5039.729550256565,-0.0006036824630244494,-0.004527618472683367,-0.007847872019317838,
gte_multilingual_base_768d,cn_def,3,2398,320,177,6039,55.04587155963303,42.91075896580484,2.043369474562135,3,2,1,0.005421184320266889,0.024603836530442035,0.040033361134278564,0.020059160165273215,1077.0,1806.6042535446204,0.005838198498748957,0.02335279399499583,0.04420350291909925,0.020544740495949093,956.5,1669.8302752293578,0.00041701417848206794,-0.0012510425354462056,0.004170141784820683,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.54% using S alone and 0.58% after adding r_P."
gte_multilingual_base_768d,cn_def,5,1804,185,164,6039,56.430155210643015,41.29711751662971,2.272727272727273,3,1,2,0.004988913525498891,0.025498891352549888,0.038802660753880266,0.019771932689347915,1075.5,1796.980044345898,0.006097560975609756,0.02328159645232816,0.04379157427937916,0.020530248295192323,952.0,1652.5626385809312,0.0011086474501108652,-0.0022172949002217286,0.004988913525498892,
gte_multilingual_base_768d,cn_def,8,1112,86,135,6039,56.65467625899281,40.73741007194245,2.6079136690647484,1,0,1,0.0035971223021582736,0.026079136690647483,0.04226618705035971,0.01910582100134833,1054.5,1770.5791366906474,0.0044964028776978415,0.024280575539568347,0.044964028776978415,0.019568943877496105,927.0,1639.8003597122301,0.000899280575539568,-0.001798561151079136,0.002697841726618702,
gte_multilingual_base_768d,en_def_translated_cn_def,3,2398,320,177,6039,53.252710592160135,44.91242702251876,1.834862385321101,4,1,3,0.005838198498748957,0.02585487906588824,0.041701417848206836,0.020117733833911466,1061.5,1747.7814845704754,0.007089241034195163,0.02335279399499583,0.03919933277731443,0.02031147247013123,1040.5,1652.2443703085905,0.0012510425354462056,-0.002502085070892411,-0.002502085070892404,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.58% using S alone and 0.71% after adding r_P."
gte_multilingual_base_768d,en_def_translated_cn_def,5,1804,185,164,6039,54.60088691796009,43.62527716186253,1.7738359201773837,4,1,3,0.004988913525498891,0.027161862527716185,0.04379157427937916,0.02015877123412344,1057.0,1757.6064301552105,0.0066518847006651885,0.02383592017738359,0.04212860310421286,0.020487608086787144,1060.0,1651.6862527716187,0.0016629711751662973,-0.0033259423503325947,-0.0016629711751662973,
gte_multilingual_base_768d,en_def_translated_cn_def,8,1112,86,135,6039,55.57553956834532,42.62589928057554,1.7985611510791366,2,0,2,0.0044964028776978415,0.024280575539568347,0.04226618705035971,0.019184962003212017,1037.5,1764.2553956834533,0.006294964028776978,0.022482014388489208,0.04226618705035971,0.019900428947869774,1050.5,1663.4163669064749,0.0017985611510791368,-0.0017985611510791394,0.0,
gte_multilingual_base_768d,en_gloss_unihan,3,4186,448,211,9152,62.44624940277114,36.76540850453894,0.7883420926899188,22,1,21,0.003105590062111801,0.01051122790253225,0.018633540372670808,0.010413438643172011,1299.0,2344.54204491161,0.008122312470138558,0.029144768275203056,0.0451505016722408,0.02289920941815394,1071.0,2137.5437171524127,0.005016722408026757,0.018633540372670808,0.026516961299569992,"Across 4,186 held-out members of P families, the correct derived character was rank 1 in 0.31% using S alone and 0.81% after adding r_P."
gte_multilingual_base_768d,en_gloss_unihan,5,3577,312,203,9152,63.600782778864975,35.58848196812971,0.8107352530053118,20,1,19,0.0033547665641599105,0.011741682974559686,0.019569471624266144,0.010966289827415229,1278.0,2327.6896840928152,0.008666480290746436,0.02907464355605256,0.04584847637685211,0.023470469537808587,1044.0,2108.0746435560527,0.005311713726586526,0.017332960581492873,0.026279004752585967,
