channel,relation_class,models,mean_offset_consistency,mean_forward_mrr,mean_inverse_mrr
en_def_translated_cn_def,耳,4,0.1071010159212164,0.002902602597185575,0.0015470233003543
en_def_translated_cn_def,肉,4,0.2456211867991018,0.0070163791270273,0.012294763447263825
en_def_translated_cn_def,臣,4,,,
en_def_translated_cn_def,臤,4,,,
en_def_translated_cn_def,臥,4,,,
en_def_translated_cn_def,自,4,,,
en_def_translated_cn_def,至,4,,,
en_def_translated_cn_def,舌,4,,,
en_def_translated_cn_def,舟,4,0.3374159414476405,0.0371369188171123,0.08082141941151991
en_def_translated_cn_def,艹,4,0.27000915246902857,0.012983768751733224,0.02304185684674485
en_def_translated_cn_def,蕇,4,,,
en_def_translated_cn_def,虍,4,,,
en_def_translated_cn_def,虫,4,0.3361902004933055,0.0073958335459221244,0.0091188842988772
en_def_translated_cn_def,血,4,,,
en_def_translated_cn_def,行,4,-0.03247766478452828,0.00025466061060514997,0.001300715806067175
en_def_translated_cn_def,衣,4,0.17917114408390425,0.0017096230993517,0.0029841582086811
en_def_translated_cn_def,衤,4,0.26195379157605414,0.006887406780117975,0.0060460581961843
en_def_translated_cn_def,襾,4,,,
en_def_translated_cn_def,見,4,0.0714480087626725,0.005363293083282775,0.00540017426336635
en_def_translated_cn_def,角,4,,,
en_def_translated_cn_def,言,4,0.15097194030163424,0.007232165970302275,0.025371690417014224
en_def_translated_cn_def,谷,4,,,
en_def_translated_cn_def,豆,4,,,
en_def_translated_cn_def,豕,4,,,
en_def_translated_cn_def,象,4,,,
en_def_translated_cn_def,豸,4,0.41022611941610065,0.06063177644676498,0.00253438561288435
en_def_translated_cn_def,貝,4,0.18962797178343552,0.00501028450050185,0.007069549855806025
en_def_translated_cn_def,赤,4,,,
en_def_translated_cn_def,走,4,0.04818389017600563,0.0025719307490623747,0.003411057106468275
en_def_translated_cn_def,足,4,,,
en_def_translated_cn_def,身,4,,,
en_def_translated_cn_def,車,4,0.21183438112959263,0.002646414412519525,0.007909514866233449
en_def_translated_cn_def,辛,4,,,
en_def_translated_cn_def,辶,4,0.16219158760325694,0.0056352825187381,0.015518873375886625
en_def_translated_cn_def,邑,4,,,
en_def_translated_cn_def,酉,4,0.15679214714327824,0.002833665971326525,0.008381929515429924
en_def_translated_cn_def,釆,4,,,
en_def_translated_cn_def,里,4,,,
en_def_translated_cn_def,釒,4,0.22572528446405404,0.00306827335617805,0.012420033031359275
en_def_translated_cn_def,門,4,0.10087426812388,0.00745742571809295,0.041276867169940626
en_def_translated_cn_def,阝,4,0.13594810554059217,0.00610828744619295,0.0344382858992483
en_def_translated_cn_def,隹,4,0.08369458900679916,0.004017229553720025,0.015441846332445525
en_def_translated_cn_def,雈,4,,,
en_def_translated_cn_def,雨,4,0.28922111318785354,0.02189858868823045,0.0490360975776682
en_def_translated_cn_def,非,4,,,
en_def_translated_cn_def,面,4,,,
en_def_translated_cn_def,革,4,0.1746841409028722,0.032235239183647325,0.07995389293050388
en_def_translated_cn_def,韋,4,,,
en_def_translated_cn_def,韮,4,,,
en_def_translated_cn_def,音,4,,,
en_def_translated_cn_def,頁,4,0.09308860288417363,0.0030347264195998746,0.004080880346612525
en_def_translated_cn_def,風,4,0.1468888905947096,0.00284001016387925,0.0017315615964596
en_def_translated_cn_def,食,4,0.033296899753622676,0.001702105469976525,0.001684136170047825
en_def_translated_cn_def,飠,4,0.21912528823172162,0.006286143805643225,0.0081260591788831
en_def_translated_cn_def,首,4,,,
en_def_translated_cn_def,馬,4,0.23436830830427685,0.004250087266272325,0.0054784178520391
en_def_translated_cn_def,骨,4,0.35287446280320484,0.10565425726997107,0.004224094438616125
en_def_translated_cn_def,高,4,,,
en_def_translated_cn_def,髟,4,0.17673035893081263,0.012696360875719325,0.002060399039583325
en_def_translated_cn_def,鬥,4,,,
en_def_translated_cn_def,鬼,4,0.18486314772679982,0.00551073271094435,0.00655425831416115
en_def_translated_cn_def,魚,4,0.4394895577803254,0.04386922037014128,0.005309224403448
en_def_translated_cn_def,鳥,4,0.4176090804566801,0.05601580930805158,0.0049134893704232
en_def_translated_cn_def,鹵,4,,,
en_def_translated_cn_def,鹿,4,0.2686228100210428,0.017966206219051924,0.00475966215105915
en_def_translated_cn_def,麥,4,,,
en_def_translated_cn_def,麻,4,,,
en_def_translated_cn_def,黍,4,,,
en_def_translated_cn_def,黑,4,0.14134036740288136,0.008761483566999176,0.006723138154074226
en_def_translated_cn_def,黹,4,,,
en_def_translated_cn_def,黽,4,,,
en_def_translated_cn_def,鼎,4,,,
en_def_translated_cn_def,鼓,4,,,
en_def_translated_cn_def,鼠,4,,,
en_def_translated_cn_def,鼻,4,,,
en_def_translated_cn_def,齒,4,0.21792044717585665,0.011397750445820051,0.0027820782281428
en_def_translated_cn_def,龍,4,,,
