model,relation_class,channels,mean_offset_consistency,mean_forward_mrr,mean_inverse_mrr
gte_multilingual_base_768d,羽,4,0.18001100125271383,0.0032895071779089754,0.014765462635311824
gte_multilingual_base_768d,習,4,,,
gte_multilingual_base_768d,老,4,,,
gte_multilingual_base_768d,耂,2,,,
gte_multilingual_base_768d,耒,4,0.09662603102402667,0.0057089861348864,0.0074657058271615
gte_multilingual_base_768d,耳,4,0.0457388554091772,0.00376834260605895,0.0017231299985384502
gte_multilingual_base_768d,肉,4,0.2397112524285649,0.0085218575213249,0.014791105043766552
gte_multilingual_base_768d,臣,4,,,
gte_multilingual_base_768d,臤,4,,,
gte_multilingual_base_768d,臥,4,,,
gte_multilingual_base_768d,自,4,,,
gte_multilingual_base_768d,至,4,,,
gte_multilingual_base_768d,舌,4,,,
gte_multilingual_base_768d,舛,2,,,
gte_multilingual_base_768d,舟,4,0.35308384212354815,0.0403612041793793,0.04277892687570215
gte_multilingual_base_768d,色,2,,,
gte_multilingual_base_768d,艹,4,0.27130907557607914,0.017525710038757126,0.0322789780062708
gte_multilingual_base_768d,蕇,4,,,
gte_multilingual_base_768d,虍,4,0.1193479038774967,0.0001987869707409,0.0029673689917708
gte_multilingual_base_768d,虎,2,,,
gte_multilingual_base_768d,虫,4,0.34459770474402335,0.00783563969370415,0.010627539532619575
gte_multilingual_base_768d,血,4,0.26279162243008614,0.00527502630902505,0.0231464206365228
gte_multilingual_base_768d,行,4,0.06367391795585198,0.044968356511074725,0.05552411198758013
gte_multilingual_base_768d,衣,4,0.182537656949368,0.001215663183762325,0.007616812680611825
