relation_class,n_training_families,replicate,held_out_family,heldout_offset_cosine,model,channel
一,2,3,ROOT-4E0D,0.037696473300457,bge_m3_1024d,cn_def
一,2,4,ROOT-41C2,0.0159872993826866,bge_m3_1024d,cn_def
一,2,5,ROOT-41C2,0.0159872993826866,bge_m3_1024d,cn_def
一,2,6,ROOT-4E0D,0.037696473300457,bge_m3_1024d,cn_def
一,2,7,ROOT-767D,0.0687319710850715,bge_m3_1024d,cn_def
一,2,8,ROOT-767D,0.0687319710850715,bge_m3_1024d,cn_def
一,2,9,ROOT-767D,0.0687319710850715,bge_m3_1024d,cn_def
一,2,10,ROOT-41C2,0.0159872993826866,bge_m3_1024d,cn_def
一,2,11,ROOT-4E0D,0.037696473300457,bge_m3_1024d,cn_def
一,2,12,ROOT-767D,0.0687319710850715,bge_m3_1024d,cn_def
一,2,13,ROOT-41C2,0.0159872993826866,bge_m3_1024d,cn_def
一,2,14,ROOT-767D,0.0687319710850715,bge_m3_1024d,cn_def
一,2,15,ROOT-4E0D,0.037696473300457,bge_m3_1024d,cn_def
一,2,16,ROOT-41C2,0.0159872993826866,bge_m3_1024d,cn_def
一,2,17,ROOT-41C2,0.0159872993826866,bge_m3_1024d,cn_def
一,2,18,ROOT-767D,0.0687319710850715,bge_m3_1024d,cn_def
一,2,19,ROOT-4E0D,0.037696473300457,bge_m3_1024d,cn_def
一,2,20,ROOT-4E0D,0.037696473300457,bge_m3_1024d,cn_def
一,2,21,ROOT-41C2,0.0159872993826866,bge_m3_1024d,cn_def
一,2,22,ROOT-4E0D,0.037696473300457,bge_m3_1024d,cn_def
一,2,23,ROOT-767D,0.0687319710850715,bge_m3_1024d,cn_def
一,2,24,ROOT-767D,0.0687319710850715,bge_m3_1024d,cn_def
一,2,25,ROOT-41C2,0.0159872993826866,bge_m3_1024d,cn_def
一,2,26,ROOT-41C2,0.0159872993826866,bge_m3_1024d,cn_def
一,2,27,ROOT-41C2,0.0159872993826866,bge_m3_1024d,cn_def
一,2,28,ROOT-41C2,0.0159872993826866,bge_m3_1024d,cn_def
一,2,29,ROOT-767D,0.0687319710850715,bge_m3_1024d,cn_def
乙,1,0,ROOT-5B5A,-0.0905324667692184,bge_m3_1024d,cn_def
乙,1,1,ROOT-53C8,-0.0538318157196044,bge_m3_1024d,cn_def
乙,1,2,ROOT-53C8,0.107172891497612,bge_m3_1024d,cn_def
乙,1,3,ROOT-53C8,-0.0538318157196044,bge_m3_1024d,cn_def
乙,1,4,ROOT-53C8,-0.0538318157196044,bge_m3_1024d,cn_def
乙,1,5,ROOT-5B5A,-0.0538318157196044,bge_m3_1024d,cn_def
乙,1,6,ROOT-624B,0.107172891497612,bge_m3_1024d,cn_def
乙,1,7,ROOT-624B,-0.0905324667692184,bge_m3_1024d,cn_def
