edge_row,derived_character,p_anchor,s_component_canonical,s_independent_character,conditions,conditions_improved,top1_rescues,top1_losses,mean_rank_change
EDGE-03819,姝,朱,女,女,16,10,0,0,397.25
EDGE-00250,仍,乃,亻,人,16,10,0,0,378.375
EDGE-00433,齎,齊,貝,貝,16,10,0,0,370.8125
EDGE-04800,懼,瞿,忄,心,16,10,0,0,360.75
EDGE-00869,渝,兪,氵,水,16,10,0,0,359.0625
EDGE-02543,屢,婁,尸,尸,16,10,0,0,354.5625
EDGE-01065,暝,冥,日,日,16,10,0,0,352.5
EDGE-04105,抵,氐,扌,手,16,10,0,0,342.3125
EDGE-00480,劾,亥,力,力,16,10,0,0,339.375
EDGE-04324,俯,府,亻,人,16,10,0,0,338.75
EDGE-03529,嶄,斬,山,山,16,10,0,0,333.1875
EDGE-05067,恙,羊,心,心,16,10,0,0,332.625
EDGE-03297,毖,必,比,比,16,10,0,0,330.6875
EDGE-02253,愨,𣪊,心,心,16,10,0,0,330.4375
EDGE-04285,緩,爰,糸,糸,16,10,0,0,312.9375
EDGE-03540,彷,方,彳,彳,16,10,0,0,311.375
EDGE-01427,漚,區,氵,水,16,10,0,0,309.75
EDGE-02204,梃,廷,木,木,16,10,0,0,305.375
EDGE-04112,胝,氐,肉,肉,16,10,0,0,269.6875
EDGE-04023,窆,乏,穴,穴,16,10,0,0,269.125
EDGE-05875,播,番,扌,手,16,10,0,0,267.3125
EDGE-03372,賤,戔,貝,貝,16,10,0,0,264.75
EDGE-01462,埤,卑,土,土,16,10,0,0,263.0
EDGE-00789,霓,兒,雨,雨,16,10,0,0,260.8125
EDGE-02706,肖,小,肉,肉,16,10,0,0,260.75
EDGE-05977,維,隹,糸,糸,16,10,0,0,241.25
EDGE-02737,淑,叔,氵,水,16,10,0,0,229.8125
EDGE-02311,涇,巠,氵,水,16,10,0,0,223.6875
EDGE-02361,婉,宛,女,女,16,10,0,0,223.625
EDGE-02640,綰,官,糸,糸,16,10,0,0,220.8125
EDGE-04456,蚶,甘,虫,虫,16,10,0,0,217.8125
EDGE-05925,張,長,弓,弓,16,10,0,0,215.1875
EDGE-01656,汲,及,氵,水,16,10,0,0,208.9375
EDGE-03104,旰,干,日,日,16,10,0,0,202.5
EDGE-02828,特,寺,牜,牛,16,10,0,0,201.9375
EDGE-04080,眊,毛,目,目,16,10,0,0,201.0
EDGE-01340,輝,軍,光,光,16,10,0,0,199.3125
EDGE-02067,嬋,單,女,女,16,10,0,0,196.125
EDGE-01848,璐,路,王,玉,16,10,0,0,194.4375
EDGE-05644,靦,見,面,面,16,10,0,0,193.875
EDGE-01456,泮,半,氵,水,16,10,0,0,193.1875
EDGE-02277,繞,堯,糸,糸,16,10,0,0,193.1875
